battle_key,battle_time_jst,jst_date,jst_hour,weekday,battle_time_utc,battle_type,game_mode,result,my_crowns,opp_crowns,my_king_hp,my_princess_hp,opp_king_hp,opp_princess_hp,my_trophies_start,trophy_change,opp_trophies_start,team_size,my_deck,opp_deck,opp_tag,opp_name
20260804T231623.000Z_#2Q2L9RQ2Y,2026-08-05 08:16:23,2026-08-05,8,2,20260804T231623.000Z,trail,Chaos_1v1_Draft,win,3,0,9648,2423|6104,0,,1,1,1,1,The Log|Mega Knight|Rune Giant|Rascals|Golem|Electro Wizard|Zappies|Goblin Drill,Zap|Goblin Hut|Valkyrie|Barbarian Hut|Musketeer|Royal Giant|Hunter|Baby Dragon,#2Q2L9RQ2Y,
20260805T001041.000Z_#V00LPJ2JR,2026-08-05 09:10:41,2026-08-05,9,2,20260805T001041.000Z,pathOfLegend,Ranked1v1_NewArena,loss,1,2,7728,,7728,4250,,,,1,Battle Ram|Wizard|Royal Ghost|Giant Skeleton|Zappies|Mother Witch|Vines|Barbarian Barrel,Knight|Ice Golem|Wizard|Cannon|Zap|Berserker|Minions|Hog Rider,#V00LPJ2JR,
20260805T001350.000Z_#8YPPL982V,2026-08-05 09:13:50,2026-08-05,9,2,20260805T001350.000Z,pathOfLegend,Ranked1v1_NewArena,win,1,0,7651,4858|3362,6128,4858,,30,,1,Battle Ram|Wizard|Royal Ghost|Giant Skeleton|Zappies|Mother Witch|Vines|Barbarian Barrel,Mega Knight|Wizard|Valkyrie|Flying Machine|Dart Goblin|Goblin Barrel|Zap|The Log,#8YPPL982V,
20260805T001631.000Z_#22UJPRJGG,2026-08-05 09:16:31,2026-08-05,9,2,20260805T001631.000Z,pathOfLegend,Ranked1v1_NewArena,win,3,0,7728,1549|4858,0,,,30,,1,Battle Ram|Wizard|Royal Ghost|Giant Skeleton|Zappies|Mother Witch|Vines|Barbarian Barrel,Skeletons|Goblins|Skeleton Army|Arrows|Lightning|Golem|Night Witch|Bats,#22UJPRJGG,
20260805T231526.000Z_#2GL8RLCGV,2026-08-06 08:15:26,2026-08-06,8,3,20260805T231526.000Z,pathOfLegend,Ranked1v1_NewArena,win,1,0,7626,1159|3818,7728,4091,,30,,1,Battle Ram|Wizard|Royal Ghost|Giant Skeleton|Zappies|Mother Witch|Vines|Barbarian Barrel,Skeleton Barrel|Magic Archer|Mega Knight|Firecracker|Knight|Goblin Gang|Zap|Mini P.E.K.K.A,#2GL8RLCGV,
20260805T231913.000Z_#PGVC0V0J,2026-08-06 08:19:13,2026-08-06,8,3,20260805T231913.000Z,pathOfLegend,Ranked1v1_NewArena,loss,0,1,5646,4308,7728,203|4024,,,,1,Battle Ram|Wizard|Royal Ghost|Giant Skeleton|Zappies|Mother Witch|Vines|Barbarian Barrel,Skeletons|Berserker|Musketeer|Hog Rider|The Log|Cannon|Ice Spirit|Fireball,#PGVC0V0J,
20260805T232447.000Z_#GL0CRVRCY,2026-08-06 08:24:47,2026-08-06,8,3,20260805T232447.000Z,pathOfLegend,Ranked1v1_NewArena,win,1,0,5126,2256|1650,5126,470,,30,,1,Battle Ram|Wizard|Royal Ghost|Giant Skeleton|Zappies|Mother Witch|Vines|Barbarian Barrel,Tesla|Knight|Archers|Skeletons|X-Bow|The Log|Electro Spirit|Fireball,#GL0CRVRCY,
20260806T003433.000Z_#PP88C9CRR,2026-08-06 09:34:33,2026-08-06,9,3,20260806T003433.000Z,pathOfLegend,Ranked1v1_NewArena,win,1,0,7728,4858|4738,7728,4052,,30,,1,Battle Ram|Wizard|Royal Ghost|Giant Skeleton|Zappies|Mother Witch|Vines|Barbarian Barrel,Elite Barbarians|Boss Bandit|Furnace|Ronin|Elixir Collector|Rage|Barbarian Barrel|Arrows,#PP88C9CRR,
20260806T003816.000Z_#2Q0L99CJL,2026-08-06 09:38:16,2026-08-06,9,3,20260806T003816.000Z,pathOfLegend,Ranked1v1_NewArena,win,3,1,7221,4858,0,,,30,,1,Battle Ram|Wizard|Royal Ghost|Giant Skeleton|Zappies|Mother Witch|Vines|Barbarian Barrel,Firecracker|Electro Wizard|Valkyrie|Hog Rider|Dart Goblin|Ice Spirit|Fire Spirit|Fireball,#2Q0L99CJL,
20260806T004253.000Z_#UGQYR829P,2026-08-06 09:42:53,2026-08-06,9,3,20260806T004253.000Z,trail,Ladder,win,2,1,6594,3671,5502,,14000,30,14005,1,Goblin Cage|Barbarian Barrel|Royal Recruits|Royal Hogs|Flying Machine|Zappies|Arrows|Electro Spirit,Skeleton Barrel|Berserker|Princess|Cannon|Ronin|Arrows|Hog Rider|Goblin Gang,#UGQYR829P,
20260806T035628.000Z_#9CUPC89C2,2026-08-06 12:56:28,2026-08-06,12,3,20260806T035628.000Z,trail,Ladder,win,3,0,7728,4583|4858,0,,14030,30,14030,1,Goblin Cage|Barbarian Barrel|Royal Recruits|Royal Hogs|Flying Machine|Zappies|Arrows|Electro Spirit,Mega Knight|Ronin|Firecracker|Valkyrie|Fireball|Bats|Executioner|Goblin Gang,#9CUPC89C2,
20260806T231243.000Z_#2QG9P22V,2026-08-07 08:12:43,2026-08-07,8,4,20260806T231243.000Z,trail,Ladder,loss,0,1,7728,3571,7728,4386|731,14060,-30,14060,1,Goblin Cage|Barbarian Barrel|Royal Recruits|Royal Hogs|Flying Machine|Zappies|Arrows|Electro Spirit,Witch|Musketeer|Mega Knight|Lightning|Royal Ghost|Arrows|Goblin Cage|Guards,#2QG9P22V,
20260806T231636.000Z_#98RVVLLV8,2026-08-07 08:16:36,2026-08-07,8,4,20260806T231636.000Z,pathOfLegend,Ranked1v1_NewArena,win,1,0,7728,4248|1645,6087,3622,,30,,1,Battle Ram|Wizard|Royal Ghost|Giant Skeleton|Zappies|Mother Witch|Vines|Barbarian Barrel,Goblin Barrel|Berserker|Cannon|Goblin Gang|Fireball|Ice Spirit|Princess|The Log,#98RVVLLV8,
20260806T232115.000Z_#GQ0YQJQJ,2026-08-07 08:21:15,2026-08-07,8,4,20260806T232115.000Z,pathOfLegend,Ranked1v1_NewArena,loss,0,1,7728,1909,7728,2061|324,,,,1,Battle Ram|Wizard|Royal Ghost|Giant Skeleton|Zappies|Mother Witch|Vines|Barbarian Barrel,Royal Ghost|Bandit|Battle Ram|Ice Golem|Three Musketeers|Minions|Elixir Collector|Giant Snowball,#GQ0YQJQJ,
20260807T000601.000Z_#2VVQJRYYV,2026-08-07 09:06:01,2026-08-07,9,4,20260807T000601.000Z,pathOfLegend,Ranked1v1_NewArena,win,2,0,7728,1426|3310,4940,,,30,,1,Battle Ram|Wizard|Royal Ghost|Giant Skeleton|Zappies|Mother Witch|Vines|Barbarian Barrel,Mega Knight|Golden Knight|Balloon|Mini P.E.K.K.A|Zap|Minions|Firecracker|Goblin Gang,#2VVQJRYYV,
20260807T001012.000Z_#VLCY92YG,2026-08-07 09:10:12,2026-08-07,9,4,20260807T001012.000Z,pathOfLegend,Ranked1v1_NewArena,win,1,0,7728,3858|1193,7728,581,,30,,1,Battle Ram|Wizard|Royal Ghost|Giant Skeleton|Zappies|Mother Witch|Vines|Barbarian Barrel,Goblin Barrel|Dark Prince|Dart Goblin|Rascals|The Log|Cannon Cart|Bandit|Rocket,#VLCY92YG,
