battle_key,battle_time_jst,jst_date,jst_hour,weekday,battle_time_utc,battle_type,game_mode,result,my_crowns,opp_crowns,my_king_hp,my_princess_hp,opp_king_hp,opp_princess_hp,my_trophies_start,trophy_change,opp_trophies_start,team_size,my_deck,opp_deck,opp_tag,opp_name
20260802T053503.000Z_#YUU8J9GLQ,2026-08-02 14:35:03,2026-08-02,14,6,20260802T053503.000Z,riverRacePvP,CW_Battle_1v1,loss,0,3,0,,7728,4858|4858,14000,,14000,1,Skeleton Barrel|Skeleton King|Mortar|Cannon Cart|Goblin Gang|Ice Wizard|Giant Snowball|Spear Goblins,Tesla|Bowler|Firecracker|Electro Spirit|Valkyrie|Fireball|Skeletons|Hog Rider,#YUU8J9GLQ,
20260802T230415.000Z_#RQYVVLCU,2026-08-03 08:04:15,2026-08-03,8,0,20260802T230415.000Z,pathOfLegend,Ranked1v1_NewArena2,win,1,0,7728,3624|4858,7728,4858,,30,,1,Baby Dragon|Mini P.E.K.K.A|Valkyrie|Golem|Battle Healer|Vines|Zappies|Elixir Collector,Inferno Dragon|Bowler|Goblin Cage|Electro Giant|Lightning|Tornado|Skeletons|Barbarian Barrel,#RQYVVLCU,
20260802T230744.000Z_#ULRQLPVGG,2026-08-03 08:07:44,2026-08-03,8,0,20260802T230744.000Z,pathOfLegend,Ranked1v1_NewArena2,loss,0,1,3087,4858,7728,3147|1269,,,,1,Baby Dragon|Mini P.E.K.K.A|Valkyrie|Golem|Battle Healer|Vines|Zappies|Elixir Collector,Executioner|Boss Bandit|Hunter|Hog Rider|Dark Prince|Fireball|Guards|Giant Snowball,#ULRQLPVGG,
20260803T000751.000Z_#9U9UL280,2026-08-03 09:07:51,2026-08-03,9,0,20260803T000751.000Z,pathOfLegend,Ranked1v1_NewArena2,win,3,1,7728,4858,0,,,30,,1,Battle Ram|Wizard|Lumberjack|Giant Skeleton|Royal Ghost|Mother Witch|Vines|Barbarian Barrel,Royal Giant|Monk|Hunter|Skeletons|Fireball|The Log|Electro Spirit|Fisherman,#9U9UL280,
20260803T001259.000Z_#99PRYJG9,2026-08-03 09:12:59,2026-08-03,9,0,20260803T001259.000Z,pathOfLegend,Ranked1v1_NewArena2,win,2,1,2895,2091,7614,,,30,,1,Battle Ram|Wizard|Lumberjack|Giant Skeleton|Royal Ghost|Mother Witch|Vines|Barbarian Barrel,Bats|Goblins|Valkyrie|Ronin|Electro Wizard|Arrows|Hog Rider|The Log,#99PRYJG9,
20260803T001633.000Z_#2GGQCCU98,2026-08-03 09:16:33,2026-08-03,9,0,20260803T001633.000Z,pathOfLegend,Ranked1v1_NewArena2,win,1,0,7728,4396|4858,3755,3636,,30,,1,Battle Ram|Wizard|Lumberjack|Giant Skeleton|Royal Ghost|Mother Witch|Vines|Barbarian Barrel,Witch|Giant|Giant Snowball|Graveyard|Mini P.E.K.K.A|Bowler|Minions|Arrows,#2GGQCCU98,
20260803T035157.000Z_#2VUGJV9LG,2026-08-03 12:51:57,2026-08-03,12,0,20260803T035157.000Z,riverRacePvP,CW_Battle_1v1,win,1,0,7728,1845|1988,7728,3607,14000,,13720,1,Battle Ram|Magic Archer|Royal Ghost|Poison|Electro Wizard|Zap|Bandit|P.E.K.K.A,Inferno Dragon|Magic Archer|Valkyrie|Royal Hogs|Skeleton Barrel|Tornado|Knight|Guards,#2VUGJV9LG,
20260803T035857.000Z_#20J9V0J,2026-08-03 12:58:57,2026-08-03,12,0,20260803T035857.000Z,riverRaceDuelColosseum,CW_Duel_1v1,loss,1,4,0,0|0,5624,4858,14000,,12902,1,Skeleton Barrel|Skeleton King|Mortar|Cannon Cart|Goblin Gang|Ice Wizard|Giant Snowball|Spear Goblins|Barbarians|Void|Bomber|Lava Hound|Skeleton Dragons|Balloon|Miner|Arrows,P.E.K.K.A|Knight|Skeleton Army|Fireball|Furnace|Ram Rider|Princess|The Log|Royal Recruits|Mini P.E.K.K.A|Cannon|Zap|Balloon|Arrows|Flying Machine|Rocket,#20J9V0J,
20260803T064334.000Z_#VCPUJUG,2026-08-03 15:43:34,2026-08-03,15,0,20260803T064334.000Z,pathOfLegend,Ranked1v1_NewArena2,loss,0,3,0,,7728,4858|4858,,,,1,Battle Ram|Wizard|Lumberjack|Giant Skeleton|Royal Ghost|Mother Witch|Vines|Barbarian Barrel,Electro Dragon|Magic Archer|Mega Knight|Arrows|Tornado|Tombstone|Lightning|Guards,#VCPUJUG,
20260803T064502.000Z_#2GY0ULP,2026-08-03 15:45:02,2026-08-03,15,0,20260803T064502.000Z,pathOfLegend,Ranked1v1_NewArena2,loss,0,3,0,,7728,4858|4858,,,,1,Battle Ram|Wizard|Lumberjack|Giant Skeleton|Royal Ghost|Mother Witch|Vines|Barbarian Barrel,Skeletons|Giant|Witch|Bats|Rage|Mini P.E.K.K.A|Arrows|Sparky,#2GY0ULP,
20260803T070751.000Z_#8YG02VYP,2026-08-03 16:07:51,2026-08-03,16,0,20260803T070751.000Z,pathOfLegend,Ranked1v1_NewArena2,win,1,0,7728,4062|3706,7728,4438,,30,,1,Battle Ram|Wizard|Lumberjack|Giant Skeleton|Royal Ghost|Mother Witch|Vines|Barbarian Barrel,Goblin Barrel|Knight|Skeleton Army|Ice Spirit|The Log|Inferno Tower|Princess|Dart Goblin,#8YG02VYP,
